Age,CurrentGender,Sex,MaritalStatus,RaceEthnicity,Political,SocialGroup,FoMOMean,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,NFCMean,RFMean,JudgeMean,PersonalRecallMean,SocialRecallMean,PersonalPredictMean,SocialPredictMean
28,1,1,2,HispanicLatino,6,1,1.5,1.75,2.5,3.5,1.5,2.25,2.666666667,5,-91.42857143,3.857142857,3.5,3.5,3.5
38,2,2,2,White,4,1,3.5,1.25,4.25,3.5,2.75,3,3.555555556,7.833333333,-71.92857143,2.928571429,3.5,3.142857143,4
68,2,2,2,White,6,1,3.3,1.75,2.5,1.75,2.5,1.5,1.888888889,1.25,-73.5,2.214285714,3.142857143,2.428571429,3.428571429
32,2,2,2,White,7,1,1.8,1.75,2.5,2.75,2.25,2,2.666666667,5,-32.14285714,4.357142857,5,3.5,4.428571429
66,2,2,5,White,7,0,1.7,2,3.75,2.5,1.75,2.5,2.555555556,6.416666667,-90,1.428571429,1.857142857,1.333333333,1.888888889
54,2,2,1,White,1,1,1.3,2,3.75,3.25,1,3,2.888888889,3.333333333,-56.5,1.714285714,3.142857143,2,3.214285714
44,2,2,4,AmericanIndianAlaskaNative,4,0,1.6,1.25,3.5,3,3.5,2.5,3.111111111,2.333333333,-40.5,2.142857143,5.857142857,3,5.777777778
62,2,2,5,White,2,1,1.2,0.75,4.5,2,3.25,4.25,2.166666667,1,-20.14285714,3.285714286,4.857142857,2.928571429,4.357142857
43,2,2,4,TwoOrMoreRaces,4,0,1.3,3.25,3.5,3.5,2,2.25,4,5.333333333,-92.42857143,4.928571429,6.214285714,3.555555556,6.111111111
73,1,1,2,White,4,0,2.2,1.5,2.25,2,2.75,2.5,2.666666667,4.75,-32,2.714285714,4.285714286,3,4.555555556
37,2,2,4,White,3,1,1.7,2.5,4.5,1,4,4,3.388888889,2.333333333,-40.35714286,2.357142857,3,1.857142857,1.857142857
87,2,2,1,White,4,0,1.2,2.5,3.5,3,3.25,2,2.944444444,4.166666667,-85.5,1.142857143,1.928571429,1.222222222,2
18,2,2,2,TwoOrMoreRaces,4,0,1.2,2.75,3,2.5,3,2.75,2.555555556,6.833333333,-93.28571429,3.5,3.571428571,3.333333333,3.555555556
38,2,2,1,White,1,0,1.7,1,3.5,0.75,4,4.25,3.666666667,1.25,-46.57142857,3.5,5.571428571,2.777777778,5.333333333
44,1,1,1,White,5,0,1.8,3.25,3.5,3.5,1.5,3.5,2.944444444,8.5,-90.57142857,3.785714286,5.5,2.777777778,5.333333333
34,2,2,1,White,5,1,1.9,3.5,3.75,3.75,2.75,2.75,2.777777778,4.916666667,17.71428571,4.785714286,5.357142857,4.714285714,5.642857143
19,2,2,2,Black,4,1,1.7,2.75,2.5,3,2.75,2.25,2.111111111,4.5,-42.35714286,2.5,2.571428571,2.571428571,2.5
77,1,1,1,White,4,1,3.7,4,4.25,3.5,1,2.75,3.055555556,3.416666667,-28.85714286,2.357142857,1.928571429,2.071428571,1.928571429
86,1,1,5,White,6,0,2.1,1.75,2,2.75,1.5,2.25,2.444444444,5.25,-25.71428571,2.714285714,3.428571429,2.888888889,3.444444444
37,2,2,2,White,4,0,1.1,2.75,3,2.5,2.25,3.25,3.166666667,4.333333333,-34.57142857,3.571428571,6.214285714,2.444444444,6.666666667
76,1,1,1,White,7,1,1.2,3,3,4,0.75,2.5,2.777777778,3.833333333,-48,1.928571429,2.357142857,1.857142857,2.571428571
58,2,2,3,White,4,0,2.1,3,4,2.25,2,3.75,2.722222222,4.5,-61.92857143,3.5,4.357142857,3.111111111,4.333333333
61,2,2,2,White,2,0,1.6,1.5,3.5,3.75,2,2.5,2.555555556,1.666666667,-70.64285714,2.285714286,4.428571429,1.888888889,4.111111111
68,1,1,1,White,7,0,1,2,3.25,2.75,1.25,3.25,1.777777778,6.583333333,-30.5,2.357142857,4.5,2.111111111,4.444444444
68,2,2,5,White,2,1,1.3,1,2.5,3.75,1.25,2.25,2.5,1.833333333,0.071428571,3.357142857,3.357142857,2.928571429,2.928571429
